delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
16745561,19752,16761266,20523,9127,10279,473,2446,right
22829,25888,26491,16080,3274,3815,3042,204,right
8887,16755942,27745,1932,4421,10025,1599,1204,right
16747045,24078,16750518,12400,7345,7398,1770,1019,right
4824,4529,16763877,16126,15618,3802,3181,2407,right
788361,162677,16758777,25656,12445,9222,21386,13707,right
45941,16769827,16755833,5484,5115,10941,14211,6833,right
16769704,16762634,23805,32434,7112,6055,1974,1566,right
26362,18405,4002,5999,3257,1410,1295,498,right
21293,21158,16757271,92981,5868,2792,1253,2874,right
16750419,16766131,25254,13384,14106,7382,1079,2050,right
13558,24803,23868,23161,8874,6547,5366,4322,right
71058,11959,29876,9047,30843,6805,3814,1696,right
33061,86117,19923,14761,6040,7464,2003,2570,right
16745793,91020,65583,11621,4826,8305,2882,2121,right
88975,4919,16768924,25123,6775,6414,3449,1470,right
146794,16761579,39596,19717,26261,5286,4002,476,right
68187,13215,9552,18924,2542,3677,1693,1426,right
40402,16768748,72757,13712,8148,8971,3977,2788,right
5568,18540,16770723,22916,11551,7700,3531,1173,right
86914,23986,17282,17387,6983,2665,3404,3023,right
23509,2925,16763884,21792,8879,7602,2632,1048,right
11477,16745728,16756639,16757427,3129,7683,1968,1977,right
50024,77446,16751565,17595,10889,4940,3131,1538,right
16750360,13725,50130,16749696,2309,10030,2752,1357,right
139482,21592,80549,5995,10284,4166,3443,1159,right
19142,65580,16757924,11115,16025,8316,1791,656,right
13982,21778,14314,10765,2374,4650,3480,1134,right
16747868,26009,89277,16750503,6307,10268,5987,2609,right
16772396,67745,66154,20210,7138,11276,4891,2101,right
2439403,16750838,16140,16745995,13569,18748,12349,2721,right
