delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
92348,16745570,9427,9080,2612,1412,1713,430,forward
510460,583254,61300,138668,79047,16771334,87831,16745116,forward
879189,122269,71128,16750483,14365,12084,5266,3919,forward
1595136,502147,125366,42654,64266,88639,16770640,17317,forward
510539,45190,26567,12479,3341,8265,5208,1022,forward
1051327,264588,16769925,13395,8452,4692,6722,1219,forward
45694,16752009,7550,4823,1734,815,2172,401,forward
1731634,125537,20165,32530,16770962,13080,22462,8002,forward
746026,198250,360,26705,16769295,20054,18903,3057,forward
36470,97996,23544,10213,5978,7624,1760,2122,forward
167784,135164,11014,8531,5245,3976,5773,1815,forward
214399,83539,16756443,16776630,16748263,27803,16595,8351,forward
2335987,69977,67144,16745851,14214,20201,9528,3667,forward
243292,270818,65560,16749746,9561,21837,6316,2954,forward
554087,106928,16758373,75143,21259,20461,8105,8204,forward
2798817,93553,29789,16752473,39270,16747156,16770832,16753715,forward
345266,66646,13659,11795,8510,5453,5204,1506,forward
1758694,141284,16763466,67176,19836,16757426,16192,8055,forward
336080,46430,32238,16751263,13976,19000,16696,5421,forward
687995,620328,16766020,29150,15989,14529,20338,13196,forward
201397,73384,2798,6668,7178,12244,7520,8131,forward
1465331,410565,86765,94756,16768785,16770683,22754,21370,forward
1098136,84275,23994,10177,24596,22149,22807,8906,forward
968232,70996,16762577,16757661,15189,31699,9023,4923,forward
313136,24903,7633,13691,3433,3692,6321,1478,forward
459890,70662,5585,6732,6153,6961,7542,785,forward
2527361,78854,34879,19804,28968,21898,10806,4704,forward
721577,30050,5209,19840,22089,9587,2000,1319,forward
1058654,16772246,16757162,35528,16751609,28687,16749404,15106,forward
2093512,247594,243014,16745516,16749600,22305,11839,10617,forward
292499,16747605,16744977,16750757,9792,9977,2845,4962,forward
16776055,22359,963,2610,2746,927,704,283,forward
1558160,264053,76122,32071,19920,28624,18283,3608,forward
2048939,431092,86401,77791,16768410,25969,16770301,12804,forward
61732,7236,3342,1016,3311,1800,491,225,forward
1345486,968247,96463,161597,59600,16763945,16744837,26583,forward
610235,274392,70639,78488,16756316,18280,18963,11068,forward
140440,36236,29128,8651,4801,10135,7036,5951,forward
1772296,44625,16749123,15907,5241,6347,12689,5827,forward
898738,8780,20533,9125,7172,5350,3276,1886,forward
2337681,214252,48008,24181,9215,19866,29486,5545,forward
163358,66806,9319,11418,11587,8814,5651,2587,forward
594743,80696,11527,16745080,19047,8810,4349,7781,forward
730871,100147,16774138,14025,10281,11235,15173,7741,forward
972687,539748,4548,11473,67745,22098,11459,11985,forward
655425,185446,16756338,16766133,13730,16761128,12628,8947,forward
470524,102313,8677,9418,7494,2820,8261,3040,forward
1491006,167141,17500,16769310,71243,26956,10888,3726,forward
16746708,16748356,5404,15089,6250,4309,2953,1844,forward
105240,331586,16766211,26448,16785,18419,5276,4658,forward
1074112,16769039,13425,12166,8693,5285,9316,2429,forward
129018,27831,1473,5678,2812,3131,2640,533,forward
997888,487542,80207,14103,40394,16747238,15640,10221,forward
728239,97572,16764949,16775970,21402,19792,12576,4086,forward
888202,134178,27467,16757412,5316,20486,13423,2057,forward
250894,16764452,12067,31412,23178,11322,19206,4609,forward
458105,43588,14095,16750870,13547,32369,16746838,9828,forward
554171,30639,17074,26958,5518,9040,4555,3763,forward
26288,67889,16749480,16759645,18968,22488,22641,6323,forward
1202446,16758306,10868,9845,17251,6571,4753,3041,forward
571110,24065,7897,8879,5208,6648,10351,1316,forward
16772819,108128,10249,35971,16762245,16748664,13809,9582,forward
535104,42902,3793,14486,8586,8804,4642,1818,forward
756415,73196,6305,11166,6494,2617,1632,1509,forward
602617,16775983,30350,86660,18005,16756620,9748,3875,forward
1674950,120347,18755,27990,12265,19965,6216,8103,forward
975201,16761526,10970,15432,4959,7300,5190,2945,forward
1360903,264406,142273,22884,87567,16746399,21166,10885,forward
318406,15007,17274,8557,7798,6006,3244,1011,forward
1590113,49491,17043,21741,16752989,18684,23655,7553,forward
74279,16775444,24546,36826,5555,11221,5425,3698,forward
568794,79916,18656,15755,12238,10897,11126,5071,forward
