delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
676981,41190,6448,19230,23916,5730,17275,2590,forward
8925,16757137,14592,13013,22108,20707,4499,10575,forward
247093,90121,82818,72631,12084,28731,13111,7036,forward
398157,90985,16752039,9652,20608,16749437,22141,8002,forward
6347,10430,14419,30021,6209,13301,6701,16210,forward
4670,11122,6195,14325,17065,8134,18056,2208,forward
68834,12495,4196,16748154,16348,13256,6561,3273,forward
162803,5251,13298,5733,3287,4682,3646,2837,forward
86226,26589,4461,7851,1631,2911,2725,3110,forward
13116,30656,10034,11347,21331,9235,7649,2493,forward
646875,16763112,15777,16761256,23649,21527,9096,7979,forward
16754888,19662,10398,30750,16774,30772,15975,6995,forward
33942,72307,16764548,16747240,14066,11168,13939,5850,forward
54818,18229,4751,26396,21107,18631,16744686,3929,forward
29011,16750513,12606,4970,19843,28605,7355,3072,forward
16747058,34948,24106,12042,20920,9587,8673,6790,forward
10043,30135,6932,26934,12131,14092,3270,10037,forward
85891,16761165,4762,11603,16948,22824,8870,1760,forward
16748600,14175,17316,16647,18915,6476,6208,3327,forward
25173,16749133,13137,12617,27427,11603,5890,3799,forward
505075,16759568,10401,22079,8743,20080,18575,3039,forward
51216,11350,32150,16747586,16930,18209,16624,8040,forward
92724,24252,3055,7928,2121,4460,5592,1279,forward
79161,23447,996,14643,6647,18068,4198,3005,forward
81072,15713,1932,6336,4502,3839,3624,1020,forward
713320,392023,14086,24124,8602,16757608,13317,4557,forward
179811,16754949,16744720,24214,11410,10347,11653,17526,forward
18374,16749061,24431,15928,17521,25939,11214,7276,forward
9051,16756322,28269,21711,7062,17778,4690,7915,forward
45101,26732,5614,12809,8336,10129,7266,8604,forward
69783,15838,20350,22194,8281,9872,8983,3223,forward
30587,16747042,73582,24440,16007,23994,12959,3467,forward
16776045,12806,11389,22737,14397,18395,7982,3178,forward
16439,20777,5955,9574,4801,16744613,18437,3773,forward
1470801,69563,21050,17135,28768,22204,14786,16746433,forward
638348,16843,8573,18877,3499,6959,11065,3879,forward
402800,75868,1973,16746975,8087,16745579,28124,12069,forward
212966,16769632,17800,19173,15018,14949,6532,4107,forward
11814,24235,24388,4650,8033,7674,9066,2412,forward
50519,28271,184,5775,3409,2335,3764,2243,forward
16748700,28576,8228,19822,5013,14453,10583,5266,forward
552533,83393,4700,3300,3224,5541,3755,2122,forward
78221,71641,30820,4721,6338,3922,2242,1573,forward
16746683,16753248,1440,5864,1415,4864,2525,677,forward
58009,68479,9314,13781,13407,8464,10975,5416,forward
16775233,18748,10770,10539,9034,9742,7626,3619,forward
104231,16744673,7391,15392,1580,2382,1401,549,forward
46404,38349,2095,4743,3553,2244,5304,2302,forward
50196,16752281,20537,3523,22995,15495,7097,2037,forward
18594,5830,16748060,16761505,7410,5844,1422,4530,forward
29329,5824,4466,12830,6495,5171,7054,1119,forward
10402,16401,10625,16754702,6251,5972,6184,6521,forward
65645,22429,14104,24745,15873,10604,20697,3158,forward
16744769,28317,14139,19617,8095,13094,15957,2886,forward
26567,13901,21152,32284,11836,8784,5508,1266,forward
16747398,22954,3866,2626,9925,11453,12280,8509,forward
21846,16748347,5287,30708,13716,20115,6970,3377,forward
16759990,16755369,11580,16750408,8670,11701,12470,14748,forward
16746483,15606,5316,16747059,7815,11865,12085,5575,forward
319702,16756450,1790,26926,14681,9706,15505,15314,forward
694397,58686,24748,11848,24564,20643,16753045,14732,forward
202082,57244,17663,13533,17151,12068,10449,1737,forward
66288,16769,16748638,16767459,16401,7813,5301,4655,forward
26307,9568,11984,11894,8017,12028,9029,7624,forward
12565,11829,19480,77952,11046,17997,7315,3853,forward
16752199,7820,5714,16764573,6179,4232,4434,1679,forward
10235,8058,9841,77566,7487,9879,6782,2642,forward
13683,24250,13912,16753121,5047,13588,10775,2494,forward
55440,16756774,2593,4483,3296,2833,4237,1059,forward
16747616,23569,1867,24810,10212,9954,12620,3112,forward
16758331,23600,8143,20916,14275,15963,7784,8279,forward
26817,19381,7807,11992,12319,13233,12896,3613,forward
8520,14492,4887,16495,10787,8865,7602,3484,forward
67486,16967,14156,10095,12893,8957,5168,10840,forward
23430,18435,9339,13635,6618,13203,4866,2631,forward
16770631,23755,17118,5318,13033,18775,9405,2495,forward
16758785,32462,14556,10424,12520,16838,9577,2666,forward
2568,22713,11572,16749138,5291,17731,8830,4098,forward
39883,88156,16750224,31585,7129,15840,5344,8804,forward
22610,10274,16895,3895,12393,9214,25559,3819,forward
23528,7111,26831,13445,16745471,16335,11036,1165,forward
125816,87401,16772052,32287,6155,10474,14082,7424,forward
63609,16769735,7572,1747,3324,6000,2912,920,forward
16748616,18618,3134,16748842,3613,7674,9631,5073,forward
201078,3707,3334,6635,2588,2649,3353,2170,forward
16755552,27246,5076,10198,13224,14694,6484,3897,forward
38276,10954,6195,7488,4607,6498,4110,538,forward
19729,70689,3840,14874,23200,9878,7840,6050,forward
16763560,3640,11180,12933,14685,16747736,21861,14082,forward
57414,14664,4546,3138,2104,5286,2458,2240,forward
16769195,15976,19271,17456,12664,8344,9383,4468,forward
651679,85974,16763024,75034,9731,28787,13525,4157,forward
383380,74372,7669,5082,3061,4476,2487,751,forward
193904,49433,16756539,23077,14276,16745161,12882,28847,forward
20475,18423,6637,16750444,16245,18259,12343,5651,forward
1805540,56846,16751472,27844,16755672,23212,69645,6961,forward
16750613,16761873,1176,7134,16081,13851,12544,2209,forward
168999,40061,23126,16751685,4956,13334,11984,12229,forward
41014,27083,5307,1293,2720,2486,4883,1528,forward
227623,223590,13779,21597,25187,9383,12381,4127,forward
1590512,203183,72709,22843,16750246,16774449,16763133,24002,forward
1263437,170430,64670,77117,31655,21569,19774,16501,forward
402450,55572,16769724,16760404,28939,16748781,13589,6539,forward
527882,14789,7015,10988,9865,16747701,18502,4976,forward
92772,16747503,4601,2423,1437,2330,3858,2055,forward
16751612,5536,1131,4591,3303,4758,3727,1217,forward
