delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
939139,101885,15878,3910,7429,7046,10151,2238,back
212547,16745163,11509,2736,11581,9673,6637,1322,back
320394,273787,9839,16343,13323,9418,10142,2338,back
2140168,16757856,16759756,11765,16754349,24850,15827,3927,back
79623,16771547,9698,8471,5212,2917,6630,1605,back
173057,5500,3940,3489,2409,6331,3341,2765,back
387990,306139,31735,31790,16746203,13807,16765109,15503,back
306700,16745795,6826,5182,2375,13204,3786,1547,back
953249,65286,16751694,2000,14435,9286,22351,5730,back
527361,214993,16756000,32120,16756274,16755657,31068,9154,back
274992,16747329,17962,5460,4254,7858,6767,2300,back
727089,713057,25588,16755333,18710,28043,16752343,12798,back
433098,113399,76637,22320,16762021,27828,24823,18752,back
623904,533365,24615,28104,24185,66566,16777005,9646,back
44026,16767157,15152,10346,6708,6730,3981,2354,back
678810,69271,15531,10404,7478,9328,5373,2574,back
705058,16749071,14247,4114,2006,3035,3366,907,back
667138,283814,16773946,16769401,23936,16747900,15952,10201,back
1173531,148198,2302,2433,18180,9601,2878,2984,back
279691,22912,9763,4441,3014,11913,2764,1512,back
1225336,77727,61573,16766714,27880,19693,16752412,17654,back
118880,44654,16767542,25075,8073,12931,19020,4096,back
865676,114194,16747210,6084,14505,25902,19152,15151,back
446945,75142,16757384,16764575,24904,31141,27430,12867,back
900771,207705,69239,24083,16749433,21389,68583,17881,back
466778,452836,149562,173015,16761709,16776721,16759637,16757190,back
684655,41309,27389,5266,12338,9573,9748,3649,back
1261158,73075,16757239,35853,13119,28972,16752104,4920,back
1014247,65892,27684,10158,7334,9957,4924,7470,back
1188199,16757479,16749898,16757086,8976,4556,3812,792,back
189131,16764402,13026,20820,6202,20227,19596,10897,back
1101703,433276,16746992,16744349,15192,22537,12590,9061,back
595570,52416,25998,25116,18863,14550,12212,6606,back
811132,193746,71593,25848,16756979,16754953,69079,10574,back
1008497,16752442,4864,18879,3021,6657,6372,4374,back
1748318,345164,29930,16613,28785,24070,21174,3617,back
16750856,19081,16747,6273,4948,13295,4476,1280,back
1014091,120426,16758144,10092,25982,20011,17048,30924,back
141687,74416,14957,6427,5512,10947,4521,5066,back
267552,280540,16748751,15018,24935,31584,16763079,13048,back
35381,16775699,3738,5615,3147,1375,3451,857,back
582195,318187,68444,27826,9940,16752300,16692,10741,back
55045,70642,21882,17618,14043,9481,6085,3609,back
233670,16752559,2863,2517,3608,6095,4921,2215,back
1539469,32959,21130,8905,25219,12861,26868,11651,back
838358,21138,3805,4912,3634,3578,2601,1140,back
1931439,48012,14581,10043,29850,18661,20615,16323,back
868286,90472,18366,8553,17064,17820,22537,6520,back
382040,215783,16745026,69734,25320,22886,11244,9957,back
2989481,118379,145237,16752002,31748,21470,16760638,9733,back
1830431,164633,32682,70592,25722,22744,16746582,10486,back
718489,16768508,50476,16749081,18549,16745721,16766789,10336,back
53572,4576,3478,6192,4508,7815,10709,1561,back
16747464,16766805,12319,6382,8367,3819,3513,1463,back
253310,189045,16751018,16754300,24784,16763196,16759475,10091,back
953217,409095,16768648,56742,12625,16747762,16745992,16903,back
383427,438856,29105,4568,15937,16762813,16774271,6224,back
609522,22737,13591,19084,7228,3457,7544,2368,back
16633,4514,2041,16771197,14535,25979,19327,13949,back
1376337,465597,122594,33435,16746868,16750551,32147,26516,back
971884,289152,21832,27524,30223,16761475,21728,16745275,back
328130,16749767,16143,6872,8610,16247,6194,1992,back
546888,102707,30188,26811,24862,16745084,12679,3969,back
38564,16773492,17512,11190,5850,7765,4483,3614,back
118751,34306,16774660,16765152,10019,32156,4921,5787,back
344840,16760130,7545,1640,6959,14315,21094,1407,back
922602,92339,16769063,19362,8161,18411,19163,11318,back
3081013,517670,16758929,30475,16768923,25300,16758876,18726,back
60812,4265,1560,1655,1069,2887,432,483,back
882647,85304,7573,15787,12998,7753,13370,9587,back
425532,21355,24482,9672,8577,8240,3154,2381,back
1721322,1061442,320937,136273,16759067,31783,27510,25117,back
510554,215168,16758080,21492,16756064,24672,16745385,7861,back
1654541,453943,146008,59612,16756255,28006,29754,15207,back
2443051,408700,16762695,16772020,10699,16771912,16746361,17688,back
509080,79170,16758172,16756674,8756,21874,30065,20839,back
2045273,305993,340430,206339,79234,70447,16754180,16774835,back
966610,215584,16776456,19098,19984,10824,8101,9575,back
410956,93971,9226,3664,3632,11780,5577,2645,back
1013003,53676,7900,25034,15183,14277,15245,4888,back
1255307,16757098,27756,7508,14410,88626,30238,6977,back
1045578,529956,265009,21216,68615,16755580,16751689,19070,back
1763030,41001,16767744,16750529,28318,16749304,24584,20874,back
274657,426353,22484,25317,27202,19910,25834,11275,back
649563,40418,26961,87182,11438,20908,14820,15545,back
141776,28021,16325,11188,5940,5734,9491,2896,back
677946,1320533,66069,96029,17709,86304,24910,19006,back
1358699,69065,16761259,15981,13961,9022,6639,1269,back
716882,94984,29260,11202,4768,8212,10045,2968,back
1360231,367084,96231,16756017,16761663,16754371,25676,7826,back
38878,68509,11516,5828,8345,15079,7979,2293,back
1713771,118401,46627,21612,8264,25382,7041,7981,back
681841,77451,16751663,67275,13583,21047,27866,6609,back
423370,1702949,70912,72156,93225,16750672,16748765,4373,back
146702,26472,5633,5260,3468,10982,7209,1336,back
1418588,524142,16755474,22015,18610,16747897,22367,23492,back
1028138,152698,7641,16746489,16348,11596,6874,5728,back
434047,201503,10356,16744468,16749021,28890,77569,11935,back
152700,16767423,13597,5772,4675,5744,11237,2539,back
92667,21827,297,14133,3892,6861,2039,659,back
296056,27487,28133,10428,32407,6304,4297,8685,back
16764575,10835,1661,3121,2618,1626,476,1532,back
81791,28752,2921,2522,1887,13001,9453,1894,back
1022259,63518,16753952,16758101,50543,16747172,16753658,12065,back
1133715,156225,97361,26810,17731,16749975,16750769,10502,back
186357,189665,31109,16748588,30573,21618,7662,7857,back
811456,57339,16764444,11018,19777,5739,6404,7470,back
166365,263597,28279,25861,22352,16749956,24828,7143,back
45380,29872,9872,10107,4719,9613,7201,2735,back
407207,16772733,16770152,11418,10721,12936,8913,5486,back
254101,86725,3403,6469,8482,4936,8651,3155,back
494034,40072,16764722,20764,16215,5704,16621,1623,back
174652,113705,5984,9852,14947,16130,8695,1239,back
72874,16757462,3722,2418,1553,4124,1676,1385,back
121097,16765683,2336,6137,3812,8726,2179,5198,back
1474291,507214,16745127,93211,16768798,16764924,16760384,17969,back
247914,312128,21172,16762622,17016,28198,16747011,4362,back
155796,16755101,10890,7410,7036,4923,9310,2966,back
223792,209862,16747700,30500,31096,16750766,21812,3352,back
461417,34637,20479,26767,15905,22989,12605,9984,back
206285,29122,12273,19412,5823,12279,8331,1924,back
876981,80532,21800,16749649,70697,14054,19655,3339,back
86936,70093,16883,8465,8054,9403,17635,1475,back
221564,24966,2003,1200,935,3823,3594,861,back
1211037,286411,16755718,16770321,22528,14375,26627,16670,back
