delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
16750673,13953,16476,12583,5470,11749,4596,1157,down
16763504,8125,23685,12482,3892,6000,3840,1181,down
71143,14823,17816,15069,6129,8667,4351,900,down
84740,20629,14589,13813,3560,10134,1826,2370,down
13308,28447,4680,18882,4749,6126,2924,1232,down
90363,25408,4426,13101,7761,4306,2607,688,down
16759740,21930,23490,3668,7591,5888,3111,1209,down
67231,30483,16750664,11414,4731,4507,1198,2306,down
16754616,16748211,28992,32593,5327,9353,2215,1920,down
287919,16758407,16746478,10395,7963,4592,619,581,down
274122,11818,4935,4502,1630,1859,583,16777118,down
153792,17647,8186,3987,4825,8901,6932,3754,down
46678,16757559,9482,16368,21581,11935,14774,5904,down
16751718,9382,4248,2279,1285,2246,483,275,down
19822,16775207,8422,3778,6881,5422,2787,894,down
73722,29431,7285,3913,6161,2324,682,16777193,down
53894,18921,14133,12797,11803,10808,1813,2130,down
22785,4605,4894,11577,6885,6975,6114,660,down
16748392,16765155,6076,14661,2921,3552,661,2134,down
31028,31694,22882,23437,5589,5099,3205,1583,down
107143,25535,11720,2545,4169,2524,434,629,down
79180,77091,25858,9395,2786,3275,1460,1240,down
16759340,13623,4972,7120,5353,7113,1216,157,down
16757144,14034,16745273,16016,8193,5835,2317,2295,down
27964,16753541,10200,9784,5418,6503,2160,2169,down
67084,10895,10709,21077,6781,7972,1290,1463,down
16760432,20276,12318,3123,7683,5801,1626,2658,down
16766767,4549,9493,16649,14780,5787,3285,1670,down
24709,9699,18634,10290,9773,5715,2747,2436,down
92486,30976,32090,7525,5995,5772,3503,740,down
21008,15681,7620,16756579,11587,13040,1155,2675,down
16765781,24296,13518,12174,16500,3033,3480,1778,down
23861,16747732,6137,2168,2904,8091,2923,1474,down
128746,16753484,5418,178,1240,1635,787,16777211,down
131972,25413,4878,3678,7527,3225,1108,247,down
16759613,18253,21672,17366,5984,7048,2446,1719,down
105321,8343,3359,18433,7925,7609,1720,1557,down
30139,8690,1946,21510,9124,16342,910,972,down
83540,22532,7252,18164,9344,5240,4293,1323,down
95854,15725,2772,23119,7158,5759,1584,1177,down
16758701,16772295,1134,24518,14080,2704,1682,3161,down
4869,9782,13133,28199,16667,5729,2566,729,down
68494,16746339,7711,10046,4454,6973,2572,1198,down
16772488,18018,12814,5500,7380,5500,1385,1061,down
79753,16752381,7918,22549,9481,12410,2341,1076,down
16765711,16771,16754726,29605,11605,2851,3491,2151,down
27573,8443,11098,16756532,3027,7869,1381,1039,down
16744782,16751998,16744979,14724,7634,4603,2749,1133,down
16755217,2447,1902,6453,5972,11246,1647,1113,down
94512,28535,2348,4759,4871,4291,2336,642,down
54050,16769310,9168,9929,10498,4710,3713,932,down
55998,16745030,16746157,8390,4447,5837,1099,723,down
21249,27473,14089,19728,2557,6392,1446,717,down
16763672,16769553,7954,12024,8415,5863,2615,1030,down
120352,70799,13865,10541,8526,5991,3428,1653,down
25424,16761098,3608,2646,3699,5266,3168,2146,down
11721,16758643,15730,24997,6142,6852,4668,1086,down
53528,16757718,7978,1704,7008,2592,583,550,down
16776114,28972,4592,8555,10077,5986,1006,752,down
219598,20750,4916,1674,1103,6501,621,355,down
149191,13515,21589,17709,5100,5378,1235,1142,down
1199614,437742,31744,12211,16000,7981,4143,1929,down
96075,11249,6003,6154,4193,4639,2075,1392,down
111093,39679,16776207,23138,7500,6081,1530,1070,down
16751397,12623,1348,9780,7645,7064,1150,684,down
16768503,16758082,1856,949,1961,1198,730,389,down
1941938,66340,14176,32281,4199,12670,8779,3997,down
176233,24232,1156,5795,9044,3589,2150,2453,down
29429,6518,21040,6731,1292,11034,3700,2957,down
89339,79549,1843,8127,4946,13139,3760,3586,down
56094,12647,73,937,1116,187,267,16777107,down
29875,3675,3034,24989,10697,6212,4683,945,down
