delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,action
48348,13275,2950,3737,5614,6006,3997,1809,back
1057608,63546,17329,17138,16772097,17640,23439,9302,back
77969,69284,10876,29501,18440,14173,32534,9858,back
2876261,117108,16750899,14445,16775759,16759862,14309,5031,back
1777030,112783,12018,16769665,65414,24501,26555,6096,back
1249560,69999,16757512,69146,18086,32507,16760036,9133,back
1201575,57687,4964,16752813,19966,26780,16749260,10157,back
451931,235825,12901,16749924,8454,17144,20020,7502,back
85678,16775383,20939,21501,16559,27384,15652,7301,back
74176,77770,22000,23305,19065,17595,16751253,13253,back
9960,32554,7938,16744695,19357,18757,10123,4067,back
49478,102094,30057,81830,16745858,16766923,12911,10594,back
488427,69764,16747147,16763884,73867,27318,15355,4145,back
2083438,67922,20502,9750,22464,22065,6041,8439,back
40871,10851,7315,16746936,10129,11037,18589,19329,back
246317,83878,6957,14136,22860,16744997,17251,12870,back
454254,36559,16751459,16745906,16751173,27907,11750,12219,back
132104,16768478,10327,8576,7031,6027,4116,2082,back
93239,16751576,25722,16749459,25896,20744,8193,5946,back
359138,49816,121798,206614,36827,16756177,33853,67386,back
32009,66208,14948,16752362,16747176,14397,20373,1648,back
688570,51583,16765096,12449,13820,16826,14541,6039,back
831497,36424,16747714,16744801,13654,30435,10669,3158,back
17259,16291,18525,18820,22051,14632,18075,2753,back
14291,13053,14723,16752403,9769,20003,19385,12537,back
25832,19159,22918,16763183,16255,18924,23850,7645,back
51405,16752039,13113,6039,3250,8786,4019,2139,back
13594,18554,8413,121734,13962,17176,10206,5921,back
286430,49511,20866,16772048,12817,18543,18309,5761,back
746613,37576,24868,5414,6684,15793,7563,3660,back
149092,68041,4654,18788,3283,4756,4405,1499,back
495884,150117,21409,2448,17809,5266,15544,6378,back
682567,46970,30968,16745208,18877,16759541,27576,10184,back
1628345,273399,16757475,24755,22374,14295,15770,4692,back
1321658,27210,14914,7205,5683,5994,6292,2361,back
2070769,315912,61947,30532,16759391,25366,16770370,11519,back
210283,140658,11271,16759936,11516,24656,12066,2933,back
859695,40736,84837,12474,15127,25248,18445,10633,back
214639,75711,8281,32455,24578,16744979,16752063,7737,back
89595,28344,7792,15894,4069,3623,5960,2205,back
142850,32473,16748745,27582,22365,22464,12542,7098,back
16770448,14781,16755179,26916,13250,16765575,10453,4169,back
602474,39447,8612,16767954,24347,27210,16745363,8247,back
25156,27237,8305,16746797,14435,19712,17576,8917,back
45331,7567,6463,6423,3889,2765,3684,2846,back
16760263,8457,16840,22628,13192,13180,18509,3016,back
41874,16756010,16746841,23741,19686,15581,19681,2890,back
16753665,31314,6589,13317,14018,25984,14337,5915,back
6535,12254,16077,15344,26175,20522,15206,11271,back
573186,16772643,5305,16754573,9726,28770,12057,3362,back
141256,155609,6003,16756840,20558,19299,10436,8001,back
20394,16758416,16749317,16751741,16750341,22635,16299,22361,back
29541,7973,7070,24334,22829,24671,8714,2723,back
26557,26468,11795,9508,19743,16752559,31942,2019,back
81438,22599,3752,13425,2745,7260,5654,3391,back
16765652,20412,15845,22923,16767465,25419,12088,5383,back
162177,56898,25253,16747010,14343,18468,13144,11853,back
32168,14139,19720,16766315,5373,26217,12555,15253,back
2276346,177906,29494,30772,9917,28367,25123,9773,back
148532,55049,13949,31751,16098,23902,28589,9480,back
16763809,29779,16769215,16760974,16746462,16755486,30393,3778,back
27842,18416,7338,16755956,8245,15507,9011,11204,back
16229,15419,14101,16758322,19354,16876,9670,5945,back
463530,82558,16760184,16766660,16758766,27474,12233,3080,back
206740,14994,5068,7479,5618,6467,9131,2262,back
143769,27603,25909,13196,16749821,14108,25020,9669,back
16747974,18255,4715,2395,8166,5502,2487,3659,back
214896,16772770,9382,8072,10498,3849,5388,1322,back
416177,37188,6579,10333,7274,6609,3491,5234,back
60767,157240,70082,26288,16751273,14859,27644,12384,back
82745,8086,9043,4108,7025,6959,7226,1514,back
62232,53808,27019,67653,16746742,25900,12277,18426,back
582786,387742,74188,58427,16774268,16767469,16756735,3901,back
932806,72280,24862,24802,17222,14985,16760910,12407,back
877122,55660,21736,16750573,14267,20757,8955,4013,back
336378,75489,16760941,19086,4753,18277,28147,16210,back
486017,69487,5204,1573,7809,4409,6198,8958,back
107232,28722,22897,27350,16265,16748225,8566,13080,back
16746547,16553,11643,16744738,12516,29735,8673,15432,back
2523,32184,10622,44697,16748689,19491,26405,4703,back
637143,22212,16429,16760345,16747242,26034,24055,14166,back
533568,10329,23457,83238,16744955,32049,27144,5697,back
29381,16776192,11832,31519,22793,27818,18643,4655,back
161251,11174,4028,3877,9676,2789,4376,221,back
21432,3464,8236,71665,10063,14861,15177,15060,back
339250,25428,3734,7920,16928,13470,16889,7721,back
227445,83906,7894,16756517,12992,16747464,7706,4022,back
85621,13360,29876,22897,22324,22024,6839,7832,back
266394,16752827,12631,84279,9790,10342,11016,6382,back
85561,16748575,16759016,16746736,16756025,26757,16983,12052,back
1778591,49486,37411,16773777,16751414,16746710,16818,12273,back
83862,77853,25350,16752308,27381,24968,21147,10818,back
560187,43368,16745500,16774887,4958,27675,20580,7205,back
29257,14936,16744475,14801,16764389,16760414,18970,8216,back
336231,242338,131717,14731,26904,20360,16771106,17491,back
367249,224367,25725,9088,5975,10364,16488,6339,back
147806,16065,3945,2409,1596,3045,1724,1874,back
1819378,64600,16842,16745547,16770930,20846,22957,17722,back
1449692,30136,16746475,13057,12559,11633,9104,8613,back
174321,265015,16749157,16772178,16775030,27241,22199,17787,back
1604742,442854,101055,80862,16770328,85497,52719,19944,back
189840,26947,10272,4166,3969,2776,6270,1137,back
163702,16745793,6413,17250,3495,5051,8075,1134,back
587188,49962,17733,5743,16244,26688,27742,13931,back
16774459,16754,6913,16772993,10782,29220,9996,3094,back
446652,93960,27606,4701,2717,4097,7902,2246,back
81520,9306,1324,15108,2597,6510,3413,3382,back
54071,11164,29675,6029,16752817,31471,9885,6073,back
25848,16986,6750,18469,16755324,24633,19997,6943,back
80545,16776767,10031,12822,18857,18625,16179,6028,back
59835,76530,16744745,16744837,16750879,32083,17428,16437,back
1482619,148685,23626,31812,22205,21756,24422,11033,back
617600,76646,19216,16462,27851,8464,25753,3056,back
261372,355588,51454,28478,17576,18161,24014,7329,back
1208551,170070,75751,19907,16773655,27421,22543,8036,back
346707,16774845,20713,23660,20469,16745064,17661,3309,back
1162233,70360,10450,28717,21567,21648,13116,18509,back
744625,313034,187976,133333,88882,82554,23624,22122,back
1238583,199625,16754513,14847,29156,16759889,26060,13995,back
211107,16762800,15178,16768330,26665,27989,12588,6631,back
718611,30435,2374,29556,13831,12824,23878,10294,back
378016,91906,20701,16756766,16482,16765349,25525,4818,back
97247,28382,5368,9632,12865,4984,11208,2564,back
950041,83062,16749656,11459,16751115,16767793,15932,5226,back
360484,86287,16750656,19770,24247,16761988,22959,13959,back
71739,7526,11820,8127,11990,2579,1793,1982,back
